 (11.2984208514563,-3.430934789403771E-017)
 (19.5699977773961,4.799823744703445E-018)
 (72.9089066981238,8.636893973561808E-017)
 (4.57544632344420,7.99517621174212)
 (-2.64163564838039,-4.61601605737250)
 (7.71620698480431,13.4833748154484)
 (0.641094148222391,0.411613959241972)
 (-1.48981126213695,-0.956567522337667)
 (-3.981251524627960E-005,-3.327563649391698E-005)
 (-1.70443250290147,-0.478991386882730)
 (-0.733442729739268,-0.206130672676111)
 (-3.309493504656747E-005,-6.193380498468374E-006)
 (-3.409980030641329E-003,4.568622793998753E-002)
 (-5.901042307304317E-003,7.906467924222969E-002)
 (0.415945705722528,-5.57267124174730)
 (-0.720651319861453,0.608389817656536)
 (0.416079141218157,-0.351264904855293)
 (-13.1857071162295,11.1316127418459)
 (0.136154592960359,-0.206648594978450)
 (-0.227804669319116,0.345790570674605)
 (-6.132699354259288E-006,9.702101200689189E-006)
 (-0.180647035046971,0.655965584856949)
 (6.125160933101631E-002,-0.222388408618109)
 (1.647017109354502E-005,-6.140547209822622E-005)
 (5.964264926264885E-002,4.561264445121489E-002)
 (-0.196620857700672,-0.150365330592395)
 (3.887049811711239E-006,3.427850175233764E-006)
 (-0.145549134290660,-0.200208096481192)
 (-4.415341236835544E-002,-6.073430120328015E-002)
 (6.146905610708437E-006,7.293161017507779E-006)
 (-1.777598407185039E-002,-2.201472913881615E-002)
 (1.920665744246122E-002,2.378637555813466E-002)
 (7.875115160616975E-007,-6.762799214864779E-007)
 (2.067931097047757E-002,3.269583745223677E-002)
 (-3.747993070108771E-003,-5.926003709947480E-003)
 (6.417787033976765E-007,-1.102917124048880E-007)
 (0.305044176251500,-0.249649997682285)
 (-0.176133586136363,0.144148325082119)
 (-0.654073245467864,0.535298130199099)
 (-3.974664385360679E-002,0.288266008659439)
 (5.954085540684528E-002,-0.432115520181502)
 (-2.641389882659938E-006,-5.553293115852553E-006)
 (0.656643588238626,0.182940705680212)
 (-0.204870436808522,-5.709353911034657E-002)
 (5.827587068584927E-006,-5.653703994682210E-007)
 (-2.008534763333012E-002,-6.787124878161033E-002)
 (-3.478557712200973E-002,-0.117545829265174)
 (-1.94622462005501,-6.57656366649484)
 (-1.05414027761289,-0.498687081448574)
 (2.27680542949426,1.07706712610304)
 (-6.261511243350117E-006,1.053911548712221E-005)
 (2.51669609963623,0.100760674810399)
 (1.16520222157070,4.663570504276659E-002)
 (4.080380938681286E-006,-3.848448808413366E-006)
 (-5.302372921667117E-003,4.996327827171571E-002)
 (-9.197399915954474E-003,8.668921487785920E-002)
 (-0.969328530720077,9.13580975606061)
 (-4.21825553268487,2.42753795240572)
 (2.43541617824423,-1.40153359469108)
 (-1.73189775587711,0.996652874910611)
 (0.319495238543215,-0.463501740169038)
 (-0.184454007328873,0.267601605313539)
 (0.924641589141204,-1.34143899270156)
 (0.636846108689205,-1.10758272613478)
 (1.29228761347657,-1.23229525203111)
 (6.400297729364533E-003,-2.853641796719716E-003)
 (4.57544632344420,-7.99517621174212)
 (-2.64163564838039,4.61601605737250)
 (7.71620698480431,-13.4833748154484)
 (11.1918699261145,-5.280454405589707E-018)
 (19.3843289636343,-3.518878273197361E-017)
 (73.8125340882259,-3.399541285075185E-016)
 (-0.244849499209618,0.127539160133432)
 (0.338000197734043,-0.176067031017812)
 (-3.087502559846255E-005,3.679166471257119E-006)
 (-0.406775974817332,0.400037358256711)
 (0.116928527993420,-0.114988820702867)
 (-1.163611580751164E-005,1.718203237481294E-005)
 (-0.335902576957710,-0.226997147190186)
 (0.193925934430059,0.131048112332629)
 (-7.85919716807695,-5.31110634936759)
 (2.020471215689285E-002,0.110205176494480)
 (3.498748499819832E-002,0.190811282565585)
 (1.70705069162677,9.30994692006780)
 (0.390218013746319,0.770993735721314)
 (-0.700409390816466,-1.38406095091776)
 (1.521968509134613E-005,2.508329728544159E-005)
 (1.09346889877105,1.10025675536841)
 (0.609096240944130,0.612946034749180)
 (-4.871957380598737E-005,-4.891845492785917E-005)
 (3.524553313068726E-002,-1.482452621416032E-002)
 (-4.140442289442810E-002,1.741577996449186E-002)
 (4.238876869529173E-007,-1.978902853218696E-007)
 (6.027676417035427E-002,-6.584620276971377E-003)
 (-1.354636579196883E-002,1.480478173997774E-003)
 (-3.378276683875421E-007,2.192062414201775E-006)
 (-9.461455452827722E-002,1.521984609189925E-002)
 (0.412534604970873,-6.636023996572533E-002)
 (-1.266298266913945E-006,-1.387909316678934E-006)
 (-0.417431432464070,1.845138284689480E-002)
